recall,precision
1.0,0.011875
1.0,0.011882426516572859
1.0,0.011889862327909888
1.0,0.011897307451471509
1.0,0.011904761904761904
1.0,0.011912225705329153
1.0,0.01191969887076537
1.0,0.011927181418706842
1.0,0.01193467336683417
1.0,0.011942174732872407
1.0,0.011949685534591196
1.0,0.01195720578980491
1.0,0.011964735516372796
1.0,0.011972274732199117
1.0,0.01197982345523329
1.0,0.011987381703470032
1.0,0.011994949494949494
1.0,0.012002526847757423
1.0,0.012010113780025285
1.0,0.012017710309930424
1.0,0.012025316455696202
1.0,0.012032932235592146
1.0,0.012040557667934094
1.0,0.012048192771084338
1.0,0.012055837563451776
1.0,0.012063492063492064
1.0,0.01207115628970775
1.0,0.012078830260648443
1.0,0.012086513994910942
1.0,0.0120942075111394
1.0,0.012101910828025478
1.0,0.012109623964308477
1.0,0.01211734693877551
1.0,0.012125079770261647
1.0,0.012132822477650063
1.0,0.012140575079872205
1.0,0.012148337595907928
1.0,0.01215611004478567
1.0,0.012163892445582587
1.0,0.012171684817424727
1.0,0.01217948717948718
1.0,0.012187299550994226
1.0,0.012195121951219513
1.0,0.012202954399486191
1.0,0.012210796915167094
1.0,0.012218649517684888
1.0,0.012226512226512226
1.0,0.012234385061171926
1.0,0.012242268041237113
1.0,0.012250161186331399
1.0,0.012258064516129033
1.0,0.012265978050355068
1.0,0.01227390180878553
1.0,0.012281835811247576
1.0,0.012289780077619664
1.0,0.012297734627831715
1.0,0.012305699481865285
1.0,0.012313674659753726
1.0,0.01232166018158236
1.0,0.012329656067488644
1.0,0.012337662337662338
1.0,0.012345679012345678
1.0,0.01235370611183355
1.0,0.01236174365647365
1.0,0.012369791666666666
1.0,0.012377850162866449
1.0,0.012385919165580182
1.0,0.012393998695368558
1.0,0.012402088772845953
1.0,0.012410189418680601
1.0,0.01241830065359477
1.0,0.012426422498364944
1.0,0.012434554973821989
1.0,0.012442698100851343
1.0,0.012450851900393184
1.0,0.012459016393442624
1.0,0.012467191601049869
1.0,0.01247537754432042
1.0,0.012483574244415242
1.0,0.012491781722550954
1.0,0.0125
1.0,0.012508229098090849
1.0,0.012516469038208168
1.0,0.012524719841793012
1.0,0.012532981530343008
1.0,0.012541254125412541
1.0,0.012549537648612946
1.0,0.01255783212161269
1.0,0.012566137566137565
1.0,0.01257445400397088
1.0,0.012582781456953643
1.0,0.012591119946984758
1.0,0.012599469496021221
1.0,0.012607830126078301
1.0,0.012616201859229747
1.0,0.012624584717607974
1.0,0.012632978723404254
1.0,0.012641383898868928
1.0,0.012649800266311585
1.0,0.012658227848101266
1.0,0.012666666666666666
1.0,0.012675116744496331
1.0,0.012683578104138851
1.0,0.012692050768203072
1.0,0.01270053475935829
1.0,0.012709030100334449
1.0,0.012717536813922356
1.0,0.012726054922973878
1.0,0.012734584450402145
1.0,0.012743125419181758
1.0,0.012751677852348993
1.0,0.012760241773002015
1.0,0.012768817204301076
1.0,0.012777404169468728
1.0,0.01278600269179004
1.0,0.012794612794612794
1.0,0.012803234501347708
1.0,0.012811867835468645
1.0,0.01282051282051282
1.0,0.012829169480081027
1.0,0.012837837837837839
1.0,0.012846517917511832
1.0,0.012855209742895805
1.0,0.012863913337846988
1.0,0.012872628726287264
1.0,0.01288135593220339
1.0,0.012890094979647219
1.0,0.012898845892735914
1.0,0.012907608695652174
1.0,0.01291638341264446
1.0,0.01292517006802721
1.0,0.012933968686181076
1.0,0.012942779291553134
1.0,0.012951601908657124
1.0,0.01296043656207367
1.0,0.012969283276450512
1.0,0.012978142076502733
1.0,0.012987012987012988
1.0,0.012995896032831737
1.0,0.013004791238877482
1.0,0.013013698630136987
1.0,0.013022618231665525
1.0,0.013031550068587106
1.0,0.013040494166094716
1.0,0.01304945054945055
1.0,0.013058419243986255
1.0,0.013067400275103164
1.0,0.01307639366827254
1.0,0.013085399449035813
1.0,0.013094417643004824
1.0,0.01310344827586207
1.0,0.013112491373360938
1.0,0.013121546961325966
1.0,0.013130615065653075
1.0,0.01313969571230982
1.0,0.01314878892733564
1.0,0.013157894736842105
1.0,0.013167013167013167
1.0,0.013176144244105409
1.0,0.0131852879944483
1.0,0.013194444444444444
1.0,0.01320361362056984
1.0,0.01321279554937413
1.0,0.013221990257480862
1.0,0.013231197771587743
1.0,0.0132404181184669
1.0,0.013249651324965132
1.0,0.013258897418004187
1.0,0.013268156424581005
1.0,0.013277428371767994
1.0,0.013286713286713287
1.0,0.013296011196641007
1.0,0.01330532212885154
1.0,0.013314646110721794
1.0,0.01332398316970547
1.0,0.013333333333333334
1.0,0.013342696629213483
1.0,0.013352073085031623
1.0,0.013361462728551337
1.0,0.013370865587614356
1.0,0.013380281690140845
1.0,0.013389711064129669
1.0,0.013399153737658674
1.0,0.013408609738884969
1.0,0.013418079096045197
1.0,0.01342756183745583
1.0,0.013437057991513438
1.0,0.013446567586694975
1.0,0.013456090651558074
1.0,0.013465627214741318
1.0,0.01347517730496454
1.0,0.0134847409510291
1.0,0.013494318181818182
1.0,0.013503909026297086
1.0,0.013513513513513514
1.0,0.013523131672597865
1.0,0.013532763532763533
1.0,0.0135424091233072
1.0,0.01355206847360913
1.0,0.013561741613133477
1.0,0.013571428571428571
1.0,0.013581129378127233
1.0,0.013590844062947067
1.0,0.013600572655690766
1.0,0.013610315186246419
1.0,0.013620071684587814
1.0,0.013629842180774749
1.0,0.013639626704953339
1.0,0.013649425287356323
1.0,0.013659237958303379
1.0,0.013669064748201438
1.0,0.013678905687544997
1.0,0.013688760806916427
1.0,0.0136986301369863
1.0,0.013708513708513708
1.0,0.013718411552346571
1.0,0.013728323699421965
1.0,0.01373825018076645
1.0,0.013748191027496382
1.0,0.013758146270818247
1.0,0.013768115942028985
1.0,0.013778100072516316
1.0,0.013788098693759071
1.0,0.013798111837327523
1.0,0.013808139534883721
1.0,0.013818181818181818
1.0,0.013828238719068414
1.0,0.013838310269482883
1.0,0.013848396501457727
1.0,0.013858497447118891
1.0,0.013868613138686132
1.0,0.013878743608473338
1.0,0.013888888888888888
1.0,0.013899049012435992
1.0,0.013909224011713031
1.0,0.01391941391941392
1.0,0.013929618768328446
1.0,0.013939838591342627
1.0,0.013950073421439061
1.0,0.013960323291697281
1.0,0.013970588235294118
1.0,0.013980868285504048
1.0,0.013991163475699559
1.0,0.01400147383935151
1.0,0.014011799410029498
1.0,0.014022140221402213
1.0,0.014032496307237814
1.0,0.014042867701404288
1.0,0.014053254437869823
1.0,0.014063656550703183
1.0,0.014074074074074074
1.0,0.014084507042253521
1.0,0.014094955489614243
1.0,0.014105419450631032
1.0,0.01411589895988113
1.0,0.01412639405204461
1.0,0.014136904761904762
1.0,0.014147431124348473
1.0,0.014157973174366617
1.0,0.014168530947054437
1.0,0.014179104477611941
1.0,0.014189693801344288
1.0,0.014200298953662182
1.0,0.014210919970082274
1.0,0.014221556886227544
1.0,0.014232209737827715
1.0,0.01424287856071964
1.0,0.014253563390847712
1.0,0.014264264264264264
1.0,0.014274981217129978
1.0,0.014285714285714285
1.0,0.014296463506395787
1.0,0.01430722891566265
1.0,0.014318010550113038
1.0,0.014328808446455505
1.0,0.014339622641509434
1.0,0.014350453172205438
1.0,0.01436130007558579
1.0,0.014372163388804841
1.0,0.014383043149129448
1.0,0.014393939393939395
1.0,0.014404852160727824
1.0,0.014415781487101669
1.0,0.01442672741078208
1.0,0.014437689969604863
1.0,0.014448669201520912
1.0,0.01445966514459665
1.0,0.014470677837014471
1.0,0.014481707317073171
1.0,0.014492753623188406
1.0,0.01450381679389313
1.0,0.014514896867838044
1.0,0.01452599388379205
1.0,0.014537107880642693
1.0,0.01454823889739663
1.0,0.014559386973180077
1.0,0.014570552147239263
1.0,0.014581734458940905
1.0,0.014592933947772658
1.0,0.014604150653343582
1.0,0.014615384615384615
1.0,0.014626635873749037
1.0,0.014637904468412942
1.0,0.014649190439475714
1.0,0.014660493827160493
1.0,0.014671814671814672
1.0,0.014683153013910355
1.0,0.014694508894044857
1.0,0.014705882352941176
1.0,0.01471727343144849
1.0,0.014728682170542635
1.0,0.01474010861132661
1.0,0.014751552795031056
1.0,0.014763014763014764
1.0,0.014774494556765163
1.0,0.014785992217898832
1.0,0.014797507788161994
1.0,0.014809041309431021
1.0,0.014820592823712949
1.0,0.01483216237314598
1.0,0.01484375
1.0,0.014855355746677092
1.0,0.01486697965571205
1.0,0.014878621769772905
1.0,0.014890282131661442
1.0,0.014901960784313726
1.0,0.014913657770800628
1.0,0.014925373134328358
1.0,0.014937106918238994
1.0,0.014948859166011016
1.0,0.014960629921259842
1.0,0.014972419227738377
1.0,0.01498422712933754
1.0,0.01499605367008682
1.0,0.015007898894154818
1.0,0.015019762845849802
1.0,0.015031645569620253
1.0,0.015043547110055424
1.0,0.015055467511885896
1.0,0.01506740681998414
1.0,0.01507936507936508
1.0,0.015091342335186657
1.0,0.015103338632750398
1.0,0.015115354017501989
1.0,0.015127388535031847
1.0,0.015139442231075698
1.0,0.015151515151515152
1.0,0.015163607342378291
1.0,0.015175718849840255
1.0,0.015187849720223821
1.0,0.0152
1.0,0.01521216973578863
1.0,0.015224358974358974
1.0,0.015236567762630313
1.0,0.015248796147672551
1.0,0.015261044176706828
1.0,0.01527331189710611
1.0,0.015285599356395816
1.0,0.015297906602254429
1.0,0.015310233682514102
1.0,0.01532258064516129
